t,id,id_ind,dep_share,price,DFF,log_numbranch,log_numemp_numbran,exponpremises_at,salaries_at,DFF_IV
1,25,2,.0000643,3.579786,4.9654247,2.564949,-1.463009,.5775251,2.393112,0
1,26,2,.0001056,2.958113,4.9654247,2.302585,-1.130103,.7980613,2.646105,0
1,27,2,.0000865,3.06904,4.9654247,2.995732,-1.998784,.610161,1.878168,0
1,28,2,.0001359,3.07422,4.9654247,3.78419,-2.158878,.7285427,2.646105,0
1,29,2,.0003512,3.306454,4.9654247,4.060443,-1.673517,.3541015,1.760278,0
1,30,2,.0000742,2.27012,4.9654247,2.772589,-2.450505,.3013183,1.09177,0
1,31,2,.0005217,2.851512,4.9654247,4.634729,-1.934711,.3531058,1.094216,0
1,32,2,.0008697,2.10661,4.9654247,3.850147,-1.294472,.2915444,1.074222,0
1,33,2,.0001843,2.12453,4.9654247,2.564949,-.9105381,.3284889,2.13132,0
1,34,2,.0000305,3.926523,4.9654247,2.564949,-2.214293,.39901,2.255445,0
1,35,2,.0003582,3.253831,4.9654247,4.143135,-1.780396,.394328,1.660365,0
1,36,2,.0001756,3.802928,4.9654247,2.70805,-1.424342,.2700982,1.060596,0
1,37,2,.0000541,2.11406,4.9654247,2.833213,-2.31442,.3549028,1.240129,0
1,38,2,.0000758,3.344896,4.9654247,2.890372,-1.99021,.4661466,1.905101,0
1,39,2,.0001784,2.920809,4.9654247,2.890372,-1.582039,.513643,1.427257,0
1,40,2,.0004022,2.251114,4.9654247,3.850147,-1.556603,.7204304,2.203011,0
1,41,2,.0003271,2.702217,4.9654247,3.555348,-1.610868,.3092024,1.788756,0
1,42,2,.0000432,3.286932,4.9654247,2.397895,-2.223942,.3337193,1.305357,0
1,43,2,.0055311,3.22869,4.9654247,5.958425,-1.341425,.3175249,1.794073,0
1,44,2,.000037,4.420314,4.9654247,3.332205,-2.831429,.5909185,1.595058,0
1,45,2,.0001176,2.673045,4.9654247,3.218876,-1.918684,.3803016,1.359099,0
1,46,2,.0000456,2.934849,4.9654247,3.135494,-2.610766,.5706559,2.137718,0
1,47,2,.0014761,3.921167,4.9654247,4.043051,-.8170013,.3613183,1.772434,0
1,48,2,.0000849,3.060444,4.9654247,2.944439,-1.768866,.4778053,2.30808,0
1,49,2,.0000317,3.08419,4.9654247,2.197225,-2.207275,.4814694,1.597121,0
1,50,2,.0000367,2.291905,4.9654247,2.564949,-2.318089,.3960947,1.47936,0
1,51,2,.0000444,2.605692,4.9654247,2.639057,-1.997203,.4251982,1.55185,0
1,52,2,.0001143,4.070264,4.9654247,3.401197,-1.892685,.6710407,2.499589,0
1,53,2,.0009062,2.788804,4.9654247,5.056246,-1.740243,.355943,1.706109,0
1,54,2,.0000975,3.157264,4.9654247,3.258096,-2.052126,.4245167,1.72614,0
1,55,2,.0000463,3.284488,4.9654247,2.484907,-2.21488,.555927,1.927396,0
1,56,2,.0001756,3.390562,4.9654247,3.637586,-2.294721,.2700982,1.060596,0
1,57,2,.0000647,2.904034,4.9654247,2.772589,-2.190373,.4532686,1.420344,0
1,58,2,.0036308,2.953943,4.9654247,5.187386,-1.218415,.3340306,1.370449,0
1,59,2,.0003081,3.861209,4.9654247,3.713572,-2.475198,.3032219,1.060596,0
1,60,2,.0004226,3.504672,4.9654247,2.772589,-.6648028,.3525615,1.622294,0
1,61,2,.0000741,2.776712,4.9654247,2.639057,-1.976369,.3833589,1.366774,0
1,62,2,.0000217,4.569253,4.9654247,2.484907,-2.546782,.7980613,2.30874,0
1,63,2,.0005724,3.64663,4.9654247,5.105946,-2.33586,.4783361,1.585295,0
1,64,2,.0000514,4.297228,4.9654247,2.397895,-2.083085,.3586443,1.229813,0
1,65,2,.0000342,2.624186,4.9654247,2.397895,-2.275678,.2700982,1.740394,0
1,66,2,.0000329,4.00377,4.9654247,2.397895,-2.158878,.3292359,2.021479,0
1,67,2,.0001932,4.303094,4.9654247,4.007333,-2.157305,.4725589,1.979903,0
1,68,2,.0000725,3.797806,4.9654247,3.044523,-2.256065,.6368801,1.781758,0
1,69,2,.0003155,3.46304,4.9654247,3.970292,-1.606612,.4653728,1.62885,0
1,70,2,.0000475,2.860552,4.9654247,2.890372,-2.525729,.6300672,1.811718,0
