year,rssdid,total_payout_ratio_w,borrowing_assets,borrowing_dep_total,s_dep,s_loan,deposits_assets,net_nonintexp_assets,leverage,MB_w,assets_share
2005,42541,.098706,.0998156,.124649,2.849951,1.678084,.8007733,.0071042,10.05924,1.636991,.0028471
1995,42541,.0383098,.0773745,.0911447,2.796602,3.279083,.848919,.0144699,13.56733,1.536245,.0031024
1994,42541,.054,.0786167,.0920086,1.782621,4.338902,.8544491,.0773978,14.94004,1.194176,.0031273
2002,42541,.0439239,.1897193,.2568996,.7359181,.9847902,.738496,.0079376,13.93055,2.010822,.0028616
2000,42541,.0396522,.1371837,.1742353,3.571656,2.857345,.7873478,.0157266,13.25057,2.5986,.002742
1997,42541,.0207883,.1825004,.2477243,2.907372,3.095409,.7367077,.0106581,12.3775,3.581781,.0030626
2008,43173,.0218023,.2096214,.3118895,-1.925009,3.475161,.6721015,.0137099,8.454724,.7814963,.0011118
2007,43173,.0084746,.2323445,.3508715,1.042998,3.659263,.6621926,.0132367,9.482017,1.528561,.0010798
1996,43379,,.1573395,.2045371,2.936086,2.100637,.769247,.0209052,13.62148,,.0017713
1995,43379,,.1136281,.1411251,3.110063,2.847575,.8051586,.0231985,12.31324,,.0017957
1994,43379,,.1847111,.2504366,3.068995,.5996885,.7375562,.0261581,12.86459,,.0019011
1999,43557,.0540173,.1976101,.2691393,4.310464,1.813918,.7342297,.0179951,14.67131,2.832247,.0044701
1994,43557,.0838282,.1067562,.131846,4.111505,-.3370915,.8097042,.0261532,11.97038,.9470814,.004952
1997,43557,.0460073,.1308551,.1653935,4.394317,2.002808,.7911748,.0202794,12.82543,2.304548,.0047786
1996,43557,.0188857,.1391147,.1774367,4.150588,2.178473,.7840242,.0189028,13.01049,2.098983,.004988
1998,43557,.0264729,.1029634,.1251038,3.734144,2.895717,.8230239,.0189071,13.51118,2.639501,.0045245
1995,43557,.0611902,.1069714,.1315467,4.37746,1.92102,.8131816,.0170413,12.52395,1.405283,.0046497
2007,44602,,.0267306,.0327337,2.797808,-.0653261,.8166083,-.0048159,6.383206,,.0010136
1995,47920,.0295983,.229587,.3298112,3.569152,3.307823,.6961163,.0185397,13.45954,1.743935,.0031535
1997,47920,.02,.2477947,.3635158,3.265645,2.266636,.6816614,.0124053,14.17557,3.083335,.0048446
1994,47920,.0406645,.1695062,.2241254,3.095767,.940815,.7563006,.0221439,13.47831,1.247334,.002922
1999,47920,.0638243,.2847139,.4439515,3.38453,1.452521,.6413176,.0134261,13.51928,2.78208,.0047979
1998,47920,,.2871455,.4467375,2.799088,3.018717,.6427612,.0197734,14.26671,,.0051032
1996,47920,.0270252,.228315,.3251086,1.504644,5.862686,.702273,.0358951,14.40673,2.29602,.0040104
2001,49362,.03516,.0434785,.0490975,2.206474,3.403773,.8855537,.0272168,14.0909,2.730152,.001723
2002,49362,.0301511,.0710003,.0827083,2.06769,3.862882,.858442,.0197411,14.17279,2.62799,.0017087
2000,49362,.0086735,.0992593,.118673,5.007841,3.062566,.8364103,.0287613,15.54476,3.641522,.0017582
2003,49362,.0191513,.0739174,.0856443,1.816885,1.639989,.8630745,.0176887,15.87097,2.91933,.0017172
1994,60143,.0293542,.2945573,.4570422,2.928389,.0397444,.6444861,.0050745,16.40512,1.191468,.0067621
2002,60143,.0620317,.3382783,.6664817,.8534442,2.426996,.5454253,.0099684,10.98193,1.527647,.0056991
2003,60143,.0336884,.0958108,.120013,.8407921,1.645696,.798337,.0115156,9.447139,1.919863,.0070526
1998,60143,.0311172,.3001056,.4886403,2.650558,3.348351,.6141647,.0096615,11.66457,3.800717,.0054276
2016,60143,.0143646,.0759231,.0924325,.7300813,2.1175,.8213891,.009189,9.738257,1.531636,.0043489
2005,60143,.0859264,.0883344,.1093706,2.899044,1.901045,.807662,.014874,9.615056,1.824428,.0060283
2008,60143,.1212778,.2584152,.3922077,-.3910279,2.591167,.6588733,.0144588,12.09023,.5947096,.005577
2009,60143,.0054951,.1956094,.2758867,.198222,1.621625,.7090207,.0132554,10.48548,.9164335,.0050578
2010,60143,.0025893,.1256084,.1642389,.4323454,2.30377,.7647908,.0163928,9.124022,1.287215,.0045102
2000,60143,.0229738,.31126,.5253925,3.511295,2.830464,.5924332,.0043721,10.38348,2.480141,.0054765
2014,60143,.0355451,.0438476,.0515729,.3772956,2.131287,.8502076,.0108245,9.438875,1.132836,.0044532
2012,60143,.0595451,.0845301,.1045845,.4433295,3.042091,.8082464,.0132569,9.326308,.8228555,.0045121
1995,60143,.0221823,.3220035,.5247798,2.99671,2.825142,.6135973,.0162119,15.52815,1.757914,.0066044
2017,60143,.0322752,.07008,.0847955,1.501858,1.947629,.8264585,.0099755,9.665424,1.884441,.0041093
2006,60143,.0726303,.1211353,.1545562,3.13038,2.525058,.7837623,.01313,10.51498,1.79438,.0059276
2011,60143,.0288603,.0935502,.1180891,.33676,2.86272,.7922004,.0159966,8.752783,.7412954,.0046792
1997,60143,.018615,.3382783,.6436723,2.843587,2.283831,.5650082,.0120219,14.02293,3.756345,.0057989
2013,60143,.0390366,.0630296,.0761434,.393012,2.293222,.8277748,.0163823,9.157872,1.211622,.004423
2007,60143,.1253596,.1924397,.2688924,2.30749,3.019071,.7156755,.0146658,10.8832,1.275939,.0057325
1999,60143,.0242428,.3382783,.6461041,3.323506,1.826266,.5518188,.0092814,10.91122,2.266107,.0054906
2001,60143,.0373478,.3013107,.5012255,.7980818,2.156739,.601148,.006438,10.25207,2.110539,.0057876
1996,60143,.0259037,.3207023,.5280532,2.722589,1.993775,.6073294,.023821,13.89499,2.375614,.0059398
2004,60143,.0584651,.0907232,.1130508,1.594917,1.6764,.8024997,.0119675,9.365312,2.037697,.0062955
2015,60143,.0400117,.0530859,.0629674,.4458368,2.148061,.8430699,.0111161,9.629808,.9722044,.0044976
2014,63069,.0157134,.0365841,.0416612,.1866568,2.131287,.8781331,.0172727,11.72569,1.646882,.0020762
2001,63069,.0135671,.1143298,.1419179,1.36101,2.498136,.8056051,.0179562,12.48982,2.532995,.0015684
2003,63069,.0144525,.0511156,.0596458,1.012181,1.941589,.8569859,.0150626,10.88157,2.5069,.0017156
2008,63069,.0312623,.0952727,.1171516,-.0430379,2.918184,.8132429,.0169022,10.93083,1.429501,.0013281
2013,63069,.0072921,.0315758,.0358617,.1886626,2.293222,.8804874,.0190293,11.37181,1.735469,.0019926
2016,63069,,.0337371,.0379884,.4900176,2.1175,.888091,.0149736,12.79234,,.0027469
2012,63069,.0069473,.0717596,.0851206,.2738955,3.465831,.8430343,.0169336,11.73625,1.128397,.0019538
2004,63069,.0190919,.0493041,.0575422,1.805799,1.965271,.8568329,.0172047,10.65382,2.595777,.0016953
2009,63069,.0099402,.0580799,.0683409,.1266012,1.855556,.849856,.0097894,10.862,1.312671,.0017744
2015,63069,,.0563385,.0656168,.2437616,2.148061,.8585994,.0243069,11.75612,,.0022354
2010,63069,0,.0316959,.0364993,.1979099,3.4926,.8683982,.0185934,10.00943,1.636002,.0017585
2017,63069,,.0337074,.0381067,1.237494,1.663061,.8845528,.0152062,12.23394,,.0027507
2011,63069,.0101372,.0243371,.0276981,.185211,3.959771,.8786581,.0197574,10.30877,1.081384,.0017885
2006,63069,.0629801,.0688722,.0824816,3.911696,2.166237,.8350005,.0158094,10.40288,2.286696,.0014848
2002,63069,.044084,.0801884,.0963153,1.221001,2.987167,.8325613,.0175453,11.46128,1.941339,.0017015
2007,63069,.0241125,.1408654,.1841498,3.17473,2.760442,.7649497,.0174627,10.61742,1.720382,.0014217
2005,63069,.0205816,.0548808,.0647897,3.485972,1.967727,.8470607,.0175795,10.19799,2.470002,.00162
1998,66855,.0581439,.2094288,.2978319,3.07575,3.754398,.7031777,.0102131,11.44249,4.31567,.0128806
1996,66855,.0293905,.2549883,.3814073,3.921942,2.706758,.668546,.010911,13.07776,3.015027,.003745
1994,66855,.0029806,.2286929,.3293243,3.886971,.9935684,.6944306,.0159687,13.00787,1.781726,.0036423
1995,66855,.087931,.2645644,.4025008,4.033702,3.046637,.6573015,.0080418,12.7985,2.409992,.003809
1997,66855,.000462,.1950672,.2722486,3.354909,3.111096,.7165039,.0105179,11.30852,4.687366,.0135468
2000,66855,.0340659,.2179717,.3342269,3.99633,3.407124,.652167,.0063336,7.700522,2.540596,.0133306
1999,66855,0,.220459,.3254688,3.438855,2.29488,.6773582,.0088183,9.786373,2.348608,.0132481
2010,67311,.0284096,.1082556,.1355027,.2004209,4.122997,.7989185,.0196861,10.77285,1.428313,.0011841
2001,67311,.0593986,.1817503,.2445486,.0677324,3.481475,.7432074,.0296752,13.32582,2.531235,.0015774
1999,67311,.0689143,.2376166,.3496657,2.653602,1.810297,.6795536,.0061562,12.07294,2.44984,.0017771
2003,67311,.0356292,.2059958,.2864275,.3810304,3.348117,.7191901,.020957,13.36646,2.326708,.0013988
2000,67311,.0442379,.1778998,.2379932,2.877018,3.31556,.7474992,.0113053,13.40465,2.550174,.0016568
2013,67311,.0264531,.0608339,.0738318,.28385,3.615479,.8239524,.0183745,8.679521,1.40966,.0016188
2015,67311,.0328371,.0868877,.1096646,.3269812,2.358616,.7923043,.0139138,8.277599,1.08848,.0015973
2014,67311,.0315715,.0923131,.1168771,.3083751,2.829961,.7898309,.0149994,8.484927,1.14261,.0015989
2002,67311,.0529671,.2031936,.2801448,.1886057,3.984073,.7253162,.0108097,13.98792,1.899592,.001532
2000,75633,,.3382783,.5802041,3.144333,3.208629,.5879006,-.0008316,14.08511,,.0034896
2007,75633,,.1966901,.2762575,1.739665,2.397851,.7119811,.0156228,10.94946,,.0038022
2013,75633,,.0642904,.0830518,.2318893,3.463339,.7741006,.0161146,6.187775,,.0061925
1996,75633,,.2336562,.3422347,3.049767,2.040921,.6827366,.0135831,11.9607,,.003132
2005,75633,,.2205435,.3156746,2.327596,1.391703,.6986417,.0143745,12.37397,,.0038826
2006,75633,,.1988736,.2758235,2.72347,1.781918,.7210176,.0128003,12.48301,,.0042296
2001,75633,,.3382783,.6157325,1.282876,1.579902,.5696574,.0114552,12.56503,,.003056
1999,75633,,.3382783,.6884968,3.106253,1.660435,.5555812,.0108779,16.15434,,.0035518
2014,75633,,.0575885,.0732072,.2258186,2.456481,.7866506,.0186438,6.420098,,.0062643
1995,75633,,.3354104,.5624476,3.460562,2.963131,.5963407,.0120025,14.65224,,.0028535
2016,75633,,.1052594,.1400914,.459462,2.317734,.7513626,.0165235,6.974573,,.0063233
1997,75633,,.2449919,.3633245,2.969012,2.337656,.6743062,.0145886,12.39129,,.0031772
2015,75633,,.0621228,.0788094,.2352916,2.148061,.7882661,.0137607,6.683993,,.0065166
1998,75633,,.30724,.4962728,2.568079,2.805334,.6190949,.0117705,13.57495,,.0033444
2010,75633,,.1715308,.2353374,.1210992,2.832363,.7288721,.0127557,10.04045,,.004194
1994,75633,,.3382783,.5985309,3.293899,.3752804,.5873553,.0142387,16.36813,,.0029866
2008,75633,,.149766,.1889299,-.3299924,2.991187,.7927068,.0099934,17.38312,,.005553
2012,75633,,.0625863,.0794433,.1975475,4.475427,.7878112,.0192114,6.68438,,.0065875
2017,75633,,.1168094,.1574239,1.175421,1.826882,.7420052,.0149846,7.082886,,.0062764
2003,75633,,.2805583,.4388332,.8287356,1.562906,.6393279,.0093666,12.48225,,.0026762
2002,75633,,.3382783,.5863818,1.321363,2.050977,.5786016,.0123253,12.17775,,.0027707
2009,75633,,.219555,.3186702,-.0016314,2.340357,.6889725,.0127837,10.93224,,.0037604
2011,75633,,.0817149,.105097,.0863526,5.100265,.7775189,.0177319,7.103979,,.0074646
2004,75633,,.2730201,.4196984,1.393098,1.634855,.650515,.0119631,13.07789,,.0025982
2001,76201,.062517,.1940579,.2753427,.9348015,2.689454,.704787,.0135356,9.885809,2.197537,.0291967
1997,76201,.0671457,.2647304,.3957047,1.499041,5.726581,.66901,.0173079,15.09214,3.159575,.013017
1999,76201,,.2224269,.3130477,2.069654,3.507944,.7105209,.0369232,14.91376,,.0137666
2000,76201,.0471511,.2634757,.4097664,3.440575,3.921354,.6429899,.005605,10.69125,2.183083,.0270244
1998,76201,.0305822,.2316489,.3319759,1.465088,5.575704,.6977882,.0133804,14.17175,2.384362,.01285
2004,76201,.0532028,.1192195,.1790703,1.84453,2.223233,.6657691,.0049737,4.650917,1.91345,.0264426
1996,76201,.024068,.3291827,.5466689,1.198181,3.097267,.602161,.0117952,14.56531,2.223535,.010073
2003,76201,.0227208,.1364158,.1790612,.8937865,2.213648,.7618392,.0081554,9.828494,2.576729,.0257375
1995,76201,.0267112,.2961162,.4672494,1.150817,4.516436,.6337434,.009888,14.25712,1.598513,.0093676
1994,76201,.0457356,.2583639,.3823823,1.060839,3.260084,.6756692,.0159952,15.15912,1.04666,.0092231
2002,76201,.0498515,.1652524,.2270238,1.004158,2.756923,.7279078,.008586,9.359808,1.540281,.025785
1995,76818,,.3382783,.7030444,.7086155,6.280428,.2027497,.0036608,11.0265,,.0025989
1994,76818,,.3382783,.7030444,.1552822,4.338902,.2027497,.0084411,11.93204,,.0026735
1998,80703,.0484759,.2246781,.3196664,2.550133,3.161694,.702852,.0129005,13.79883,2.788356,.0054513
2000,80703,.0195703,.2411169,.3516088,3.541626,2.518316,.6857533,.0132289,13.67431,2.057929,.0055463
1995,80703,.0317193,.0685925,.0805414,3.832684,2.273805,.8516435,.0200773,12.53699,1.625119,.0030539
1999,80703,.0395777,.2483105,.3636807,2.979469,1.523585,.6827704,.0167255,14.50977,1.886847,.0054846
1996,80703,.0301714,.1105954,.1358152,2.915245,1.900131,.8143076,.0263276,13.31612,2.133447,.0043069
1994,80703,.0368912,.1007197,.1211953,3.41908,.6477194,.831053,.0251319,14.6569,1.235274,.0030688
1997,80703,.0255319,.2317723,.3317032,3.274538,2.218544,.6987338,.0134617,14.38974,3.574156,.0048439
1995,88503,.0164727,.1164702,.1484509,3.504839,3.597092,.784571,.0310392,10.10522,1.794496,.0025672
1994,88503,.0973443,.1062626,.1296577,3.414389,1.615038,.8195629,.0187856,13.48173,1.456648,.0024397
1994,102016,.0606691,.1688836,.2241188,2.829177,.7090006,.753545,.0228464,12.89135,1.266341,.0032119
1995,102016,.032196,.1460263,.1911304,3.146827,2.902395,.7640139,.0184061,11.11607,2.06846,.0028935
1999,103862,.0916543,.2440386,.3624576,3.466871,.3582922,.6732886,.0089962,12.09588,1.844422,.0041031
1996,103862,.0072594,.1264822,.1576891,3.278429,1.465326,.8020986,.0156574,14.00184,2.176829,.0031423
2000,103862,.0265062,.3382783,.6937207,3.542165,2.398927,.5485813,.0424152,14.11302,2.302995,.0039757
1995,103862,.0576463,.0986035,.1191164,3.734615,2.601295,.8277906,.0104547,13.58585,1.830085,.0030425
1997,103862,.0318271,.1058825,.1271727,3.455275,.9202814,.8325886,.0214696,16.25253,3.107595,.002969
1998,103862,.030022,.2444744,.3557903,2.829014,3.090005,.6871306,.0224538,14.62094,2.951222,.003877
1994,103862,.0822667,.0666033,.0765435,3.54655,.6437922,.8701374,.0300979,15.80795,1.377113,.0029845
2009,112837,.0145283,.0657086,.0875946,-.4468348,4.4005,.7501446,.024429,5.430452,.6563221,.0108915
2004,112837,.0411767,.1269738,.1617495,1.759973,2.227087,.7850028,.0120908,11.36062,2.359178,.0026905
1999,112837,.0409411,.1356993,.1733247,2.745938,2.332047,.7829196,.0149285,12.28788,1.335502,.0026911
2005,112837,,.0825643,.112909,3.890973,-.658893,.7312464,.0125278,5.370878,,.0033426
1996,112837,.0221131,.0654014,.0767675,2.725864,2.609838,.8519409,.023251,12.09808,2.039735,.0019606
1998,112837,.0215827,.1698707,.2270814,2.591935,3.714318,.7480609,.015674,12.18496,2.230891,.0024671
2012,112837,.0047274,.0899841,.1177781,-1.130958,7.793507,.7640142,.0293722,6.84924,.8327922,.0173537
2007,112837,.1634223,.1064159,.1547508,2.108634,4.20352,.6876596,.0193317,4.856149,.7253231,.0089388
2003,112837,.0498204,.1417419,.1835774,1.228879,2.386054,.7721094,.0092911,11.60784,2.053568,.0024784
2016,112837,.1057268,.1185417,.1559421,.0728432,3.983971,.7601649,.0209333,8.244471,.8817255,.0170386
2002,112837,.0648894,.1289787,.1648398,1.135615,3.508559,.7824486,.0140703,11.29016,1.803691,.0024932
2017,112837,.0210314,.0961003,.124161,.6588271,4.105436,.7739975,.0205632,7.698104,.9921728,.0166791
2011,112837,.0068885,.0877958,.120733,-.2205125,5.711384,.7271898,.0306427,5.404987,.6556718,.0102439
2001,112837,.0297921,.1267045,.1609935,.930161,3.179438,.787016,.0140937,11.59023,1.814233,.002574
2010,112837,.0058067,.0479253,.0629627,-.2898663,5.476569,.76117,.0250966,5.238217,.7328463,.0106389
1997,112837,.0172573,.1352724,.1726523,3.017103,2.627264,.783496,.019334,12.31047,2.648082,.0020983
2000,112837,.0562962,.1510496,.1969693,3.425651,3.126467,.766869,.013863,12.18303,1.443989,.0027054
2006,112837,.0020751,.1067506,.1498807,3.439011,3.075151,.7122371,.0217203,5.524483,1.247877,.0031188
2013,112837,.0359459,.069088,.0874788,-.2479681,4.457104,.7897685,.0217471,7.084991,1.050992,.0161777
2014,112837,.0593022,.1093637,.1448563,-.2129761,4.23797,.7549807,.0213782,7.371611,1.013971,.0163847
2008,112837,.0480372,.0706754,.0935664,-.9868211,5.269028,.7553501,.0448351,5.747969,.5418866,.0094995
2015,112837,.084921,.121735,.1629923,-.1639094,3.771898,.7468761,.0209526,7.610998,.8048733,.0171007
1996,115025,.0297297,.2835379,.4435098,2.53109,2.149537,.6393047,.0144851,12.96052,2.078211,.0023405
1995,115025,.035236,.27213,.4158768,3.093701,2.568403,.6543524,.0183607,13.60218,1.744394,.0025662
1994,115025,.041571,.1853158,.2491338,2.959455,.6832228,.7438404,.0248505,14.11555,1.3494,.0020802
